key,description,en,es
ui_label:thank_you,win screen (bullet hell boss fight),Thank you for playing.,Gracias por jugar.
ui_label:game_over_text,game over screen (bullet hell boss fight),Terminated,Se terminó.
ui_label:soul_button,button text (bullet hell boss fight),Fight Back,Pelear
ui_label:shortcuts_label,options screen hint,Ctrl+M changes soundtrack,Ctrl+M para cambiar la música
ui_label:heart,[noun] (in-game resource),Heart,Corazón
ui_label:singularity,[noun] (in-game resource),Singularity,Singularidad
ui_label:death,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s"" (granted by ""Death"" charm / tarot card)",Death,La Muerte
ui_label:current,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s""",Current,Actual
ui_label:best,"automated prestige timer ""Current: 47s | Best: 20s | Death:17s""",Best,Mejor
ui_label:harvest_forest,button text,Harvest\nForest,Cosechar\nbosque
ui_label:harvest_forest_title,button on hover infobox title,Harvest Forest,Recolectar del bosque
ui_label:harvest_forest_info,button on hover infobox description,"Channel your substance into the exposed roots of The Dark Forest, exploiting it from within.","Canaliza tu sustancia en las raíces expuestas de El Bosque Oscuro, para beneficiarte desde dentro."
ui_label:watermark_title,WATERMARK,Official Game Page,Página oficial del juego.
ui_label:watermark_info,WATERMARK,"For the latest version, please verify that you are playing at the official URL, the only one I maintain and update.","Para la versión más reciente, por favor verifique que está jugando en la URL oficial, la única que recibe mantenimiento y actualizaciones."
ui_label:dark_forest_title,infobox on reopen game,The Dark Forest,El Bosque Oscuro
ui_label:dark_forest_info,infobox on reopen game,"You have awakened once more. Be wary, The Dark Forest never sleeps...","Has despertado una vez más. Sé cuidadoso, El Bosque Oscuro nunca duerme..."
ui_label:spirit_effect,bonus effect description - granting more passive damage by % increase,swordsman passive damage,daño de espadachín en segundo plano
ui_label:essence_effect,bonus effect description - granting more click damage by % increase,swordsman as click damage,daño de espadachín por clic
ui_label:shadow_effect,bonus effect description - granting more resources by % increase,resource net income,ingreso neto de recursos
ui_label:tab_info_unknown,[EMPTY],,
ui_label:tab_info_offline,[EMPTY],,
ui_label:tab_info_settings,[EMPTY],,
ui_label:tab_info_world,[EMPTY],,
ui_label:tab_info_manager,[EMPTY],,
ui_label:tab_info_enemy,[EMPTY],,
ui_label:tab_info_soul,[EMPTY],,
ui_label:tab_info_starway,[EMPTY],,
ui_label:name,"save file text (""Name: MySaveFile1"")",Name,Nombre
ui_label:playtime,save file text,Playtime,Tiempo de juego
ui_label:last_played,save file text,Last Played,Última partida
ui_label:load,save file text,Load,Cargar
ui_label:delete,save file text,Delete,Borrar
ui_label:new_game,save file text,New Game,Nueva partida
ui_label:import,save file text,Import,Importar
ui_label:import_tooltip,save file text,Restore your progress from a previous session.,Recupera tu avance de una sesión anterior.
ui_label:import_placeholder,save file text,Paste save file code here.,Pega el código de guardar archivo aquí.
ui_label:import_error,save file text,Import failed. Please check your save file code and try again.,"Fallo al importar. Por favor, revise el código de guardar archivo e intente otra vez."
ui_label:export,save file text,Export,Exportar
ui_label:export_tooltip,save file text,Copy and save this code to restore your progress later.,Copia y guarda este código para restaurar tu avance más tarde.
ui_label:import_title,save file text,Import Save,Guardar e importar.
ui_label:export_title,save file text,Export Save,Guardar y exportar.
ui_label:accept,save file text,Accept,Aceptar
ui_label:dear_diary,title of diary dialog,Dear Diary,"Querido diario,"
ui_label:resource_storage,title or resource list dialog,Resource Storage,Almacén de recursos
ui_label:upgrade,label for upgrade button,Upgrade,Mejorar
ui_label:cost,"label for price of buying, crafting or upgrading something (""Cost: 100 wood, 20 brick"")",Cost,Costo
ui_label:produce,"label for output amount e.g. passive income of resources (""Produce: 10 stone, 2 coal, 1 iron"")",Produce,Producción
ui_label:deaths_door,"title of ""defeated enemy"" choice dialog",DEATH'S DOOR,LA PUERTA DE LA MUERTE
ui_label:deaths_door_title,"hover infobox title of ""defeated enemy"" choice dialog",Knocking on Death's Door,Llamando a La Puerta de la Muerte
ui_label:deaths_door_info,"hover infobox description of ""defeated enemy"" choice dialog","The entity falls, its life hangs by a thread. Make your choice.","La entidad cae, su vida pende de un hilo. Toma una decisión."
ui_label:deaths_door_first,"button text on ""defeated enemy"" choice dialog (1)",Execute,Ejecutar
ui_label:deaths_door_second,"button text on ""defeated enemy"" choice dialog (2)",Absolve,Perdonar
ui_label:deaths_door_first_title,button hover infobox title (1),Execution,Ejecución
ui_label:deaths_door_second_title,button hover infobox title (2),Absolution,Perdón
ui_label:deaths_door_first_info,button hover infobox description (1),"Destroy the creature, consuming the tormented spirit into your own essence.",Destruye a la criatura y consume al espíritu atormentado en tu propia esencia.
ui_label:deaths_door_second_info,button hover infobox description (2),"Free the creature, releasing the spirit from the corrupted flesh prison.",Suelta a la criatura y libera al espíritu de su putrefacta prisión de carne.
ui_label:offline_1,re-open game dialog info text #1,You were away for {0}. \n\n,Estuviste ausente por {0}. \n\n
ui_label:offline_2,re-open game dialog info text #2,Unhappy population will refuse to work while not observed.,Una población disconforme se negará a trabajar cuando no hay supervisión.
ui_label:offline_3,re-open game dialog info text #3,Make sure your resources are not decreasing to keep your population happy:,Asegúrate de que tus recursos no disminuyen para mantener conforme a tu población.
ui_label:offline_4,re-open game dialog info text #4,"Since your last activity, population generated:",Población generada desde tu última acción:
ui_label:master,options menu settings label (slider for volume),Master,Principal
ui_label:music,options menu settings label (slider for volume),Music,Música
ui_label:sfx,options menu settings label (slider for volume),SFX,SFX
ui_label:shake,options menu settings label (slider for effect strength; shake animation strength),Shake,Vibración
ui_label:typing,options menu settings label (slider for effect strength; typing animation speed) ,Typing,Tecleo
ui_label:windowed,options menu settings label (window mode),Windowed,En ventana
ui_label:fullscreen,options menu settings label (window mode),Fullscreen,Pantalla completa
ui_label:heart_title,heart screen on hover infobox title,Heart Of The Dark Forest,Corazón de El Bosque Oscuro
ui_label:heart_info,heart screen on hover infobox description,Occult force pulses with a sinister rhythm... I feel it like my own... No... Y... Yes?,Una fuerza oculta late con un ritmo siniestro... La siento como si fuera mis latidos... No... S... ¿Sí?
ui_label:heart_dialog,prestige dialog title,Destroy the Heart,Destruir el corazón
ui_label:heart_yes,prestige button text (confirm),I Am Ready,Estoy listo
